username,user id,access hash,name,group,group id
Anaktani,1067575896,4611744063299370546,Zen Anak Petani,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Baokcity,837228139,-7599556490730534044,Yayan Ruhyana,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
xyzSeedBot,995683410,-2927215001596664856,xyzSeedBot,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Febriuwu,955471884,-7712278146869396991,Febri Uwu,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
tokek222,1032509166,-5143950578024458128,Tavip Pratama,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Terate2009,982485170,7813569982840565680,Terate Nolsongo,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Doge_TipBot,642813381,6321166805579580298,Dogecoin Tipbot,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
KareDOGE,1060811417,-1161723627555795356,Stroop DOGE | #PintuKemanaSaja,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
bani_Ohenk,943140369,-207718904427913921,syabani,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
ArbaniShofi,591023643,7656138623068118550,Arbani Shofi,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
SangMata_BOT,300860929,-3906356830792746319,SangMata,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Dwires15,964612417,-696266836953625398,Dwi Restu Saputra,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
DharmaSetiawan46,993281392,3428815012445714043,Dharma Setiawan,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
SangMataInfo_bot,461843263,3759098792546783633,SangMata Info Bot,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
recehtricks,757398757,4583947134420945884,nanang ferdiansyah,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
EkoApri01,1147254323,-1050320282708185561,Radif 01,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
PencariCrypt0,741840741,-8427153669993525269,ILHAM AGIL ~ P.C,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Kangrusuh,806584296,-8750194118176540838,Perusuh⸙ꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋ,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
agung7620,1032393998,4554123457273992123,Penjahat,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
kabeleror,709545776,-7230740166891857733,Pengemis Elite,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Orang_Pinggiran10,1111114064,-4669863022561057472,Masmas biasa,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Dediprasetyo,889577619,1193679160807760602,Dedi Prasetyo |🦸‍♂️|Hash Lotto Hero|🍀,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
LegitLovers,301975468,-3585834961765192013,Go Profit,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
path007,764526474,8771483164919369842,path007,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Parlinggoman,791061517,-4736550583855436347,Niecho Manalu,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Hayoakusiapa,1068051708,259248863632867616,Orang Baik,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
opencryptobot,709924521,-2109453580371343043,OpenCryptoBot,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
NUNU_13,662860828,-1850895181804780207,Nunu Anugrah⸙ꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋ,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Aditkun99,854132248,5977705053024526630,Aditya Nugraha,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Ndak_kuat_mikir,999010424,-2416407073106033342,Jambrong Alas,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
